Speaker,n_vowel_categories,total_tokens,total_after_filter,debate
Clinton,15,3372,2839,2016 Oct — Trump vs Clinton
Trump,15,2741,2232,2016 Oct — Trump vs Clinton
Biden,15,1845,1577,2020 #1 Sep — Trump vs Biden
Trump,15,4742,4019,2020 #1 Sep — Trump vs Biden
Biden,15,2441,1926,2020 #2 Oct — Trump vs Biden
Trump,15,3013,2484,2020 #2 Oct — Trump vs Biden
Biden,14,2223,1688,2024 Jun — Trump vs Biden
Trump,15,3706,3051,2024 Jun — Trump vs Biden
Harris,15,2250,1813,2024 Sep — Trump vs Harris
Trump,15,4743,3918,2024 Sep — Trump vs Harris
